id,firstName,lastName,address,city,state,zip,phone,sex,birthDate,stat,mood,charge
1,Ong,Toop,6579 Olive Rd,Ralston,IA,51459,319-454-7563,1,1952-07-07,69.32729523731521,imaginative,OFFL OPPRESSION DENY RIGHTS PRV
2,Stacyann,Cranmer,7665 Maple Ct.,Sharon,WI,53585,534-919-8246,1,1961-09-28,48.99014423768229,committed,EXCEED 35 MPH IN URBAN DIST BY 52 MPH
3,Manjot,Dutt,8055 Crabapple Boulevard,Mount Pleasant,OH,43939,513-150-3906,1,1968-07-24,75.60035703179823,nonchalant,GENERAL RULE NOT SMOKING IN PUBLIC PLACE
4,Zella,Gartland,7633 Sumac Avenue,Thomaston,TX,77989,432-761-8539,1,1952-05-20,81.58782576806883,scolded,DISORDERLY CONDUCT PROHIBITED MOTOR VEHICLE
5,Dushawn,Saph,2318 Elm Lane,Lockwood,CA,93932,213-773-6440,0,1991-06-25,19.522035066671485,grouchy,SEXUAL ABUSE OF CHILDREN
6,Hendrik,Drohun,1706 Alder Ave,Port Saint Lucie,FL,34983,813-832-3022,0,1986-05-24,70.76573262896216,alarmed,DUI COMMERCIAL VEHICLE BAC 04 1ST OFFENSE
7,Landis,Krzysztofiak,9552 Pine Rd,Somers,IA,50586,515-113-0109,0,1951-02-22,47.3156858550505,fortunate,NOISE DISTURB BETWEEN 9PM 8AM OR ACROSS PROP LINE
8,Quintessa,Dewsbury,3735 Holly Ave,Naytahwaush,MN,56566,612-475-3801,1,1954-06-20,74.81961412071406,abandoned,EXCEED 35 MPH IN URBAN DIST BY 48 MPH
9,Maximillian,Toovey,P.O. Box 3310,Galata,MT,59444,406-137-4829,0,1981-11-11,32.38029807926004,afraid,EXCEED 55 MPH IN OTHER LOC BY 66 MPH
10,Dino,Hawley,4856 Cherry Way,Hamilton,MT,59840,406-397-1410,0,1954-01-07,86.65754353905638,sentimental,LOITERING PROHIBITED
11,Nolberto,Wallen,5517 Redwood Ct.,Ethridge,MT,59435,406-340-3759,0,1994-10-31,73.456109536565,unfit,WEAPONS OF MASS DEST UNLAWFUL POSS OR MANU
12,Meridith,Izon,6571 Palm Circle,Cedar Rapids,NE,68627,402-740-3700,1,1977-04-09,63.161917671905215,sensitive,OPERATION WITHOUT LICENSE OR IN UNSAFE MANNER
